parent	child	length
01003 Glycosyltransferases	K05946	1.0
00552 Teichoic acid biosynthesis	K21285	1.0
00552 Teichoic acid biosynthesis	K09809	1.0
01003 Glycosyltransferases	K00712	1.0
01504 Antimicrobial resistance genes	K03739	1.0
01504 Antimicrobial resistance genes	K03740	1.0
00552 Teichoic acid biosynthesis	K01005	1.0
00552 Teichoic acid biosynthesis	K21592	1.0
00552 Teichoic acid biosynthesis	K18704	1.0
01003 Glycosyltransferases	K22709	1.0
00552 Teichoic acid biosynthesis	K21591	1.0
01003 Glycosyltransferases	K22710	1.0
01003 Glycosyltransferases	K22708	1.0
01003 Glycosyltransferases	K25669	1.0
01003 Glycosyltransferases	K25617	1.0
01003 Glycosyltransferases	K25619	1.0
01003 Glycosyltransferases	K13678	1.0
00552 Teichoic acid biosynthesis	K25599	1.0
01003 Glycosyltransferases	K25618	1.0
01003 Glycosyltransferases	K25620	1.0
00552 Teichoic acid biosynthesis	K25626	1.0
01003 Glycosyltransferases	K25627	1.0
01003 Glycosyltransferases	K25650	1.0
00552 Teichoic acid biosynthesis	K25651	1.0
01003 Glycosyltransferases	K25652	1.0
01003 Glycosyltransferases	K25653	1.0
00552 Teichoic acid biosynthesis	K25657	1.0
00552 Teichoic acid biosynthesis	K25658	1.0
00552 Teichoic acid biosynthesis	K07271	1.0
00552 Teichoic acid biosynthesis	K25654	1.0
00552 Teichoic acid biosynthesis	K25659	1.0
00552 Teichoic acid biosynthesis	K25660	1.0
01003 Glycosyltransferases	K08256	1.0
01003 Glycosyltransferases	K13668	1.0
09107 Glycan biosynthesis and metabolism	00571 Lipoarabinomannan (LAM) biosynthesis	1.0
00571 Lipoarabinomannan (LAM) biosynthesis	K22311	1.0
01003 Glycosyltransferases	K14335	1.0
01003 Glycosyltransferases	K13669	1.0
01003 Glycosyltransferases	K14340	1.0
01003 Glycosyltransferases	K14337	1.0
01003 Glycosyltransferases	K14339	1.0
01003 Glycosyltransferases	K13671	1.0
01003 Glycosyltransferases	K11387	1.0
01003 Glycosyltransferases	K13687	1.0
01003 Glycosyltransferases	K16647	1.0
01003 Glycosyltransferases	K16648	1.0
00571 Lipoarabinomannan (LAM) biosynthesis	K23176	1.0
01003 Glycosyltransferases	K16870	1.0
01003 Glycosyltransferases	K16649	1.0
01003 Glycosyltransferases	K16650	1.0
01003 Glycosyltransferases	K13686	1.0
01003 Glycosyltransferases	K11385	1.0
01003 Glycosyltransferases	K11386	1.0
01003 Glycosyltransferases	K22902	1.0
05111 Biofilm formation - Vibrio cholerae	K03606	1.0
09107 Glycan biosynthesis and metabolism	00543 Exopolysaccharide biosynthesis	1.0
00543 Exopolysaccharide biosynthesis	K03208	1.0
00543 Exopolysaccharide biosynthesis	K03818	1.0
01003 Glycosyltransferases	K13683	1.0
01003 Glycosyltransferases	K13684	1.0
00543 Exopolysaccharide biosynthesis	K03819	1.0
00543 Exopolysaccharide biosynthesis	K25875	1.0
01003 Glycosyltransferases	K16703	1.0
00543 Exopolysaccharide biosynthesis	K16710	1.0
01003 Glycosyltransferases	K02852	1.0
01003 Glycosyltransferases	K12582	1.0
00543 Exopolysaccharide biosynthesis	K19294	1.0
00543 Exopolysaccharide biosynthesis	K19295	1.0
00543 Exopolysaccharide biosynthesis	K19296	1.0
00543 Exopolysaccharide biosynthesis	K19293	1.0
02025 Biofilm formation - Pseudomonas aeruginosa	K20997	1.0
02025 Biofilm formation - Pseudomonas aeruginosa	K25205	1.0
01003 Glycosyltransferases	K20999	1.0
01003 Glycosyltransferases	K21001	1.0
01003 Glycosyltransferases	K21002	1.0
01003 Glycosyltransferases	K11936	1.0
00543 Exopolysaccharide biosynthesis	K21461	1.0
02026 Biofilm formation - Escherichia coli	K11937	1.0
01003 Glycosyltransferases	K20921	1.0
01003 Glycosyltransferases	K20922	1.0
01003 Glycosyltransferases	K25886	1.0
00543 Exopolysaccharide biosynthesis	K25887	1.0
00543 Exopolysaccharide biosynthesis	K25888	1.0
00543 Exopolysaccharide biosynthesis	K25889	1.0
00543 Exopolysaccharide biosynthesis	K25890	1.0
00543 Exopolysaccharide biosynthesis	K25891	1.0
00543 Exopolysaccharide biosynthesis	K25892	1.0
01003 Glycosyltransferases	K13657	1.0
01003 Glycosyltransferases	K13659	1.0
00543 Exopolysaccharide biosynthesis	K13663	1.0
01003 Glycosyltransferases	K13656	1.0
01003 Glycosyltransferases	K13660	1.0
01003 Glycosyltransferases	K13658	1.0
00543 Exopolysaccharide biosynthesis	K13664	1.0
00543 Exopolysaccharide biosynthesis	K13665	1.0
00543 Exopolysaccharide biosynthesis	K16566	1.0
01003 Glycosyltransferases	K16557	1.0
01003 Glycosyltransferases	K16558	1.0
01003 Glycosyltransferases	K16556	1.0
00543 Exopolysaccharide biosynthesis	K16568	1.0
01003 Glycosyltransferases	K16555	1.0
01003 Glycosyltransferases	K16564	1.0
01003 Glycosyltransferases	K16562	1.0
00543 Exopolysaccharide biosynthesis	K16560	1.0
00543 Exopolysaccharide biosynthesis	K16563	1.0
00543 Exopolysaccharide biosynthesis	K25902	1.0
00543 Exopolysaccharide biosynthesis	K25903	1.0
00543 Exopolysaccharide biosynthesis	K25904	1.0
00543 Exopolysaccharide biosynthesis	K25905	1.0
00543 Exopolysaccharide biosynthesis	K25906	1.0
00543 Exopolysaccharide biosynthesis	K25907	1.0
00543 Exopolysaccharide biosynthesis	K25908	1.0
00543 Exopolysaccharide biosynthesis	K25909	1.0
00543 Exopolysaccharide biosynthesis	K25910	1.0
00543 Exopolysaccharide biosynthesis	K25911	1.0
00543 Exopolysaccharide biosynthesis	K25912	1.0
00543 Exopolysaccharide biosynthesis	K21154	1.0
00543 Exopolysaccharide biosynthesis	K25913	1.0
01003 Glycosyltransferases	K16701	1.0
00543 Exopolysaccharide biosynthesis	K16707	1.0
01003 Glycosyltransferases	K16702	1.0
01003 Glycosyltransferases	K16700	1.0
00543 Exopolysaccharide biosynthesis	K25957	1.0
00543 Exopolysaccharide biosynthesis	K25958	1.0
00730 Thiamine metabolism	K03147	1.0
00730 Thiamine metabolism	K00877	1.0
00730 Thiamine metabolism	K00941	1.0
00730 Thiamine metabolism	K14153	1.0
00730 Thiamine metabolism	K21219	1.0
00730 Thiamine metabolism	K18278	1.0
04122 Sulfur relay system	K03148	1.0
02048 Prokaryotic defense system	K04487	1.0
03016 Transfer RNA biogenesis	K03151	1.0
00730 Thiamine metabolism	K03150	1.0
00730 Thiamine metabolism	K03153	1.0
09109 Metabolism of terpenoids and polyketides	00900 Terpenoid backbone biosynthesis	1.0
00900 Terpenoid backbone biosynthesis	K01662	1.0
00730 Thiamine metabolism	K03149	1.0
03000 Transcription factors	K10810	1.0
00730 Thiamine metabolism	K03146	1.0
00730 Thiamine metabolism	K22699	1.0
00740 Riboflavin metabolism	K00878	1.0
00730 Thiamine metabolism	K00788	1.0
00730 Thiamine metabolism	K21220	1.0
00730 Thiamine metabolism	K14154	1.0
00730 Thiamine metabolism	K00946	1.0
03009 Ribosome biogenesis	K06949	1.0
00730 Thiamine metabolism	K22911	1.0
00537 Glycosylphosphatidylinositol (GPI)-anchored proteins	K01077	1.0
00740 Riboflavin metabolism	K01078	1.0
09143 Cell growth and death	04111 Cell cycle - yeast	1.0
04111 Cell cycle - yeast	K23458	1.0
01009 Protein phosphatases and associated proteins	K14394	1.0
00730 Thiamine metabolism	K07251	1.0
00730 Thiamine metabolism	K00949	1.0
00730 Thiamine metabolism	K05307	1.0
00730 Thiamine metabolism	K10811	1.0
03000 Transcription factors	K03707	1.0
00730 Thiamine metabolism	K20895	1.0
00730 Thiamine metabolism	K20896	1.0
02024 Quorum sensing	K01497	1.0
00790 Folate biosynthesis	K14652	1.0
00740 Riboflavin metabolism	K08096	1.0
00740 Riboflavin metabolism	K14653	1.0
00740 Riboflavin metabolism	K01498	1.0
00740 Riboflavin metabolism	K00082	1.0
02024 Quorum sensing	K11752	1.0
00740 Riboflavin metabolism	K14654	1.0
03016 Transfer RNA biogenesis	K14655	1.0
00740 Riboflavin metabolism	K22912	1.0
00740 Riboflavin metabolism	K20860	1.0
00740 Riboflavin metabolism	K20861	1.0
00740 Riboflavin metabolism	K20862	1.0
00740 Riboflavin metabolism	K21063	1.0
00740 Riboflavin metabolism	K21064	1.0
00740 Riboflavin metabolism	K02858	1.0
00740 Riboflavin metabolism	K00794	1.0
00740 Riboflavin metabolism	K00793	1.0
00740 Riboflavin metabolism	K00861	1.0
00740 Riboflavin metabolism	K20884	1.0
00740 Riboflavin metabolism	K11753	1.0
00740 Riboflavin metabolism	K07732	1.0
00740 Riboflavin metabolism	K03788	1.0
02020 Two-component system	K09474	1.0
05323 Rheumatoid arthritis	K14379	1.0
04142 Lysosome	K14410	1.0
00740 Riboflavin metabolism	K00953	1.0
00740 Riboflavin metabolism	K22949	1.0
00740 Riboflavin metabolism	K14656	1.0
09108 Metabolism of cofactors and vitamins	00860 Porphyrin metabolism	1.0
00860 Porphyrin metabolism	K05901	1.0
00740 Riboflavin metabolism	K22393	1.0
00740 Riboflavin metabolism	K22394	1.0
00740 Riboflavin metabolism	K05368	1.0
00740 Riboflavin metabolism	K23462	1.0
00740 Riboflavin metabolism	K19285	1.0
00740 Riboflavin metabolism	K19286	1.0
00740 Riboflavin metabolism	K20146	1.0
00740 Riboflavin metabolism	K04719	1.0
09111 Xenobiotics biodegradation and metabolism	00361 Chlorocyclohexane and chlorobenzene degradation	1.0
00361 Chlorocyclohexane and chlorobenzene degradation	K15245	1.0
00740 Riboflavin metabolism	K12152	1.0
00740 Riboflavin metabolism	K25520	1.0
00627 Aminobenzoate degradation	K03186	1.0
00750 Vitamin B6 metabolism	K00275	1.0
00750 Vitamin B6 metabolism	K23998	1.0
00750 Vitamin B6 metabolism	K00868	1.0
01009 Protein phosphatases and associated proteins	K07758	1.0
01009 Protein phosphatases and associated proteins	K13248	1.0
00750 Vitamin B6 metabolism	K05275	1.0
00750 Vitamin B6 metabolism	K03472	1.0
00750 Vitamin B6 metabolism	K03473	1.0
00750 Vitamin B6 metabolism	K00097	1.0
00750 Vitamin B6 metabolism	K03474	1.0
00750 Vitamin B6 metabolism	K06215	1.0
00750 Vitamin B6 metabolism	K08681	1.0
00750 Vitamin B6 metabolism	K18607	1.0
00750 Vitamin B6 metabolism	K18608	1.0
00750 Vitamin B6 metabolism	K18609	1.0
00750 Vitamin B6 metabolism	K18610	1.0
00750 Vitamin B6 metabolism	K18611	1.0
00750 Vitamin B6 metabolism	K18612	1.0
00750 Vitamin B6 metabolism	K18613	1.0
00750 Vitamin B6 metabolism	K18071	1.0
00750 Vitamin B6 metabolism	K18614	1.0
00760 Nicotinate and nicotinamide metabolism	K06989	1.0
00760 Nicotinate and nicotinamide metabolism	K03517	1.0
00760 Nicotinate and nicotinamide metabolism	K00767	1.0
00760 Nicotinate and nicotinamide metabolism	K00763	1.0
00760 Nicotinate and nicotinamide metabolism	K10524	1.0
03000 Transcription factors	K06211	1.0
00760 Nicotinate and nicotinamide metabolism	K18551	1.0
00760 Nicotinate and nicotinamide metabolism	K06210	1.0
00760 Nicotinate and nicotinamide metabolism	K19785	1.0
00760 Nicotinate and nicotinamide metabolism	K00952	1.0
00760 Nicotinate and nicotinamide metabolism	K13522	1.0
00760 Nicotinate and nicotinamide metabolism	K00969	1.0
04146 Peroxisome	K03426	1.0
00760 Nicotinate and nicotinamide metabolism	K01916	1.0
00760 Nicotinate and nicotinamide metabolism	K01950	1.0
00760 Nicotinate and nicotinamide metabolism	K03742	1.0
00760 Nicotinate and nicotinamide metabolism	K03743	1.0
04213 Longevity regulating pathway - multiple species	K01440	1.0
00760 Nicotinate and nicotinamide metabolism	K08281	1.0
09151 Immune system	04621 NOD-like receptor signaling pathway	1.0
04621 NOD-like receptor signaling pathway	K03462	1.0
00537 Glycosylphosphatidylinositol (GPI)-anchored proteins	K18153	1.0
00537 Glycosylphosphatidylinositol (GPI)-anchored proteins	K19980	1.0
00536 Glycosaminoglycan binding proteins	K01242	1.0
00537 Glycosylphosphatidylinositol (GPI)-anchored proteins	K18152	1.0
03036 Chromosome and associated proteins	K11121	1.0
03029 Mitochondrial biogenesis	K11411	1.0
03036 Chromosome and associated proteins	K11412	1.0
03036 Chromosome and associated proteins	K11413	1.0
03036 Chromosome and associated proteins	K11414	1.0
03036 Chromosome and associated proteins	K11415	1.0
03036 Chromosome and associated proteins	K11416	1.0
03036 Chromosome and associated proteins	K11417	1.0
00760 Nicotinate and nicotinamide metabolism	K12410	1.0
00760 Nicotinate and nicotinamide metabolism	K00858	1.0
00760 Nicotinate and nicotinamide metabolism	K00322	1.0
00760 Nicotinate and nicotinamide metabolism	K00323	1.0
00760 Nicotinate and nicotinamide metabolism	K00324	1.0
00760 Nicotinate and nicotinamide metabolism	K00325	1.0
03036 Chromosome and associated proteins	K00541	1.0
00760 Nicotinate and nicotinamide metabolism	K18029	1.0
00760 Nicotinate and nicotinamide metabolism	K18030	1.0
00760 Nicotinate and nicotinamide metabolism	K20445	1.0
00760 Nicotinate and nicotinamide metabolism	K20446	1.0
00760 Nicotinate and nicotinamide metabolism	K20447	1.0
00760 Nicotinate and nicotinamide metabolism	K20448	1.0
00760 Nicotinate and nicotinamide metabolism	K14974	1.0
00760 Nicotinate and nicotinamide metabolism	K18028	1.0
00760 Nicotinate and nicotinamide metabolism	K15357	1.0
00760 Nicotinate and nicotinamide metabolism	K13995	1.0
00760 Nicotinate and nicotinamide metabolism	K20449	1.0
00760 Nicotinate and nicotinamide metabolism	K15358	1.0
00760 Nicotinate and nicotinamide metabolism	K19647	1.0
00760 Nicotinate and nicotinamide metabolism	K20450	1.0
00760 Nicotinate and nicotinamide metabolism	K20451	1.0
00760 Nicotinate and nicotinamide metabolism	K20452	1.0
00760 Nicotinate and nicotinamide metabolism	K20453	1.0
00760 Nicotinate and nicotinamide metabolism	K20454	1.0
00760 Nicotinate and nicotinamide metabolism	K19818	1.0
00760 Nicotinate and nicotinamide metabolism	K19819	1.0
00760 Nicotinate and nicotinamide metabolism	K19820	1.0
00760 Nicotinate and nicotinamide metabolism	K19826	1.0
00760 Nicotinate and nicotinamide metabolism	K19890	1.0
00760 Nicotinate and nicotinamide metabolism	K20170	1.0
00760 Nicotinate and nicotinamide metabolism	K20169	1.0
00760 Nicotinate and nicotinamide metabolism	K20158	1.0
00760 Nicotinate and nicotinamide metabolism	K19700	1.0
00760 Nicotinate and nicotinamide metabolism	K20171	1.0
00760 Nicotinate and nicotinamide metabolism	K20172	1.0
00760 Nicotinate and nicotinamide metabolism	K15359	1.0
00760 Nicotinate and nicotinamide metabolism	K18276	1.0
00760 Nicotinate and nicotinamide metabolism	K19185	1.0
00760 Nicotinate and nicotinamide metabolism	K19186	1.0
00760 Nicotinate and nicotinamide metabolism	K19187	1.0
00760 Nicotinate and nicotinamide metabolism	K19188	1.0
00760 Nicotinate and nicotinamide metabolism	K19189	1.0
00760 Nicotinate and nicotinamide metabolism	K19190	1.0
00760 Nicotinate and nicotinamide metabolism	K19191	1.0
00760 Nicotinate and nicotinamide metabolism	K20155	1.0
00770 Pantothenate and CoA biosynthesis	K00606	1.0
00770 Pantothenate and CoA biosynthesis	K00077	1.0
00770 Pantothenate and CoA biosynthesis	K24263	1.0
00770 Pantothenate and CoA biosynthesis	K00867	1.0
00770 Pantothenate and CoA biosynthesis	K09680	1.0
00770 Pantothenate and CoA biosynthesis	K03525	1.0
09108 Metabolism of cofactors and vitamins	00780 Biotin metabolism	1.0
00780 Biotin metabolism	K01947	1.0
00770 Pantothenate and CoA biosynthesis	K06982	1.0
00770 Pantothenate and CoA biosynthesis	K01922	1.0
00770 Pantothenate and CoA biosynthesis	K21977	1.0
00770 Pantothenate and CoA biosynthesis	K01598	1.0
00770 Pantothenate and CoA biosynthesis	K13038	1.0
03029 Mitochondrial biogenesis	K02318	1.0
00770 Pantothenate and CoA biosynthesis	K00954	1.0
00770 Pantothenate and CoA biosynthesis	K02201	1.0
00770 Pantothenate and CoA biosynthesis	K00859	1.0
00770 Pantothenate and CoA biosynthesis	K09735	1.0
00770 Pantothenate and CoA biosynthesis	K00997	1.0
00770 Pantothenate and CoA biosynthesis	K06133	1.0
00770 Pantothenate and CoA biosynthesis	K08682	1.0
00770 Pantothenate and CoA biosynthesis	K08069	1.0
00770 Pantothenate and CoA biosynthesis	K24264	1.0
00780 Biotin metabolism	K02169	1.0
00780 Biotin metabolism	K02170	1.0
00780 Biotin metabolism	K09789	1.0
00780 Biotin metabolism	K19560	1.0
00780 Biotin metabolism	K19561	1.0
00199 Cytochrome P450	K16593	1.0
00780 Biotin metabolism	K01906	1.0
01007 Amino acid related enzymes	K00652	1.0
01007 Amino acid related enzymes	K00833	1.0
00780 Biotin metabolism	K19562	1.0
00780 Biotin metabolism	K19563	1.0
00780 Biotin metabolism	K01935	1.0
00780 Biotin metabolism	K25570	1.0
00780 Biotin metabolism	K01012	1.0
00780 Biotin metabolism	K01942	1.0
03000 Transcription factors	K03524	1.0
04977 Vitamin digestion and absorption	K01435	1.0
02000 Transporters	K08351	1.0
09108 Metabolism of cofactors and vitamins	00785 Lipoic acid metabolism	1.0
00785 Lipoic acid metabolism	K03801	1.0
00785 Lipoic acid metabolism	K23734	1.0
00785 Lipoic acid metabolism	K23735	1.0
00785 Lipoic acid metabolism	K03644	1.0
00785 Lipoic acid metabolism	K09711	1.0
00785 Lipoic acid metabolism	K24689	1.0
00785 Lipoic acid metabolism	K10105	1.0
00785 Lipoic acid metabolism	K16869	1.0
00785 Lipoic acid metabolism	K23750	1.0
00785 Lipoic acid metabolism	K03800	1.0
00785 Lipoic acid metabolism	K18821	1.0
00785 Lipoic acid metabolism	K23763	1.0
00790 Folate biosynthesis	K01495	1.0
00790 Folate biosynthesis	K09007	1.0
00790 Folate biosynthesis	K22391	1.0
02020 Two-component system	K01113	1.0
00790 Folate biosynthesis	K08310	1.0
00790 Folate biosynthesis	K19965	1.0
00790 Folate biosynthesis	K13939	1.0
00790 Folate biosynthesis	K13940	1.0
00790 Folate biosynthesis	K01633	1.0
00790 Folate biosynthesis	K00950	1.0
00790 Folate biosynthesis	K00796	1.0
00790 Folate biosynthesis	K13941	1.0
00790 Folate biosynthesis	K24102	1.0
01504 Antimicrobial resistance genes	K18974	1.0
01504 Antimicrobial resistance genes	K18824	1.0
01504 Antimicrobial resistance genes	K18825	1.0
01523 Antifolate resistance	K00287	1.0
01504 Antimicrobial resistance genes	K18589	1.0
01504 Antimicrobial resistance genes	K19643	1.0
01504 Antimicrobial resistance genes	K18590	1.0
01504 Antimicrobial resistance genes	K19644	1.0
01504 Antimicrobial resistance genes	K19645	1.0
01504 Antimicrobial resistance genes	K18591	1.0
01523 Antifolate resistance	K01930	1.0
00790 Folate biosynthesis	K11754	1.0
00790 Folate biosynthesis	K22099	1.0
00790 Folate biosynthesis	K20457	1.0
01002 Peptidases and inhibitors	K01307	1.0
00790 Folate biosynthesis	K22100	1.0
00790 Folate biosynthesis	K22101	1.0
00790 Folate biosynthesis	K01664	1.0
00790 Folate biosynthesis	K01665	1.0
00790 Folate biosynthesis	K13950	1.0
01007 Amino acid related enzymes	K03342	1.0
00790 Folate biosynthesis	K25575	1.0
00790 Folate biosynthesis	K25578	1.0
00790 Folate biosynthesis	K02619	1.0
00790 Folate biosynthesis	K18482	1.0
00790 Folate biosynthesis	K07589	1.0
00670 One carbon pool by folate	K13938	1.0
03016 Transfer RNA biogenesis	K01737	1.0
04147 Exosome	K00072	1.0
00790 Folate biosynthesis	K00357	1.0
04147 Exosome	K01724	1.0
00790 Folate biosynthesis	K03793	1.0
00790 Folate biosynthesis	K17745	1.0
03016 Transfer RNA biogenesis	K10026	1.0
03016 Transfer RNA biogenesis	K06920	1.0
03016 Transfer RNA biogenesis	K06879	1.0
03016 Transfer RNA biogenesis	K09457	1.0
00790 Folate biosynthesis	K17488	1.0
00790 Folate biosynthesis	K17487	1.0
00790 Folate biosynthesis	K09739	1.0
00790 Folate biosynthesis	K07142	1.0
00790 Folate biosynthesis	K06984	1.0
00790 Folate biosynthesis	K06897	1.0
00790 Folate biosynthesis	K17364	1.0
00790 Folate biosynthesis	K18853	1.0
00790 Folate biosynthesis	K15740	1.0
00790 Folate biosynthesis	K22102	1.0
04122 Sulfur relay system	K03639	1.0
04122 Sulfur relay system	K03637	1.0
00790 Folate biosynthesis	K20967	1.0
04122 Sulfur relay system	K03635	1.0
04122 Sulfur relay system	K21142	1.0
04122 Sulfur relay system	K03831	1.0
04122 Sulfur relay system	K03638	1.0
00790 Folate biosynthesis	K03750	1.0
09156 Nervous system	04727 GABAergic synapse	1.0
04727 GABAergic synapse	K15376	1.0
00790 Folate biosynthesis	K07141	1.0
00790 Folate biosynthesis	K03752	1.0
00790 Folate biosynthesis	K13818	1.0
00790 Folate biosynthesis	K15631	1.0
00670 One carbon pool by folate	K13402	1.0
04147 Exosome	K00288	1.0
00670 One carbon pool by folate	K13403	1.0
00670 One carbon pool by folate	K00295	1.0
00970 Aminoacyl-tRNA biosynthesis	K00604	1.0
00670 One carbon pool by folate	K25221	1.0
00670 One carbon pool by folate	K25915	1.0
00670 One carbon pool by folate	K00289	1.0
00670 One carbon pool by folate	K25009	1.0
01523 Antifolate resistance	K25004	1.0
00670 One carbon pool by folate	K01746	1.0
00670 One carbon pool by folate	K01934	1.0
00830 Retinol metabolism	K00515	1.0
00830 Retinol metabolism	K11146	1.0
04146 Peroxisome	K11147	1.0
00830 Retinol metabolism	K11148	1.0
00830 Retinol metabolism	K11149	1.0
00830 Retinol metabolism	K11150	1.0
00830 Retinol metabolism	K11151	1.0
00830 Retinol metabolism	K11152	1.0
00830 Retinol metabolism	K11153	1.0
00830 Retinol metabolism	K11161	1.0
00830 Retinol metabolism	K11154	1.0
00830 Retinol metabolism	K15734	1.0
04977 Vitamin digestion and absorption	K00678	1.0
04977 Vitamin digestion and absorption	K11156	1.0
00830 Retinol metabolism	K11157	1.0
00830 Retinol metabolism	K11158	1.0
00830 Retinol metabolism	K00061	1.0
00830 Retinol metabolism	K07249	1.0
00199 Cytochrome P450	K07437	1.0
00199 Cytochrome P450	K12664	1.0
00199 Cytochrome P450	K12665	1.0
00199 Cytochrome P450	K17683	1.0
00199 Cytochrome P450	K07411	1.0
00199 Cytochrome P450	K17720	1.0
00199 Cytochrome P450	K07420	1.0
00199 Cytochrome P450	K07423	1.0
00830 Retinol metabolism	K09516	1.0
00199 Cytochrome P450	K17951	1.0
02048 Prokaryotic defense system	K01885	1.0
03016 Transfer RNA biogenesis	K14163	1.0
00860 Porphyrin metabolism	K02492	1.0
01007 Amino acid related enzymes	K01845	1.0
04147 Exosome	K01698	1.0
00860 Porphyrin metabolism	K01749	1.0
00860 Porphyrin metabolism	K01719	1.0
00860 Porphyrin metabolism	K01599	1.0
00860 Porphyrin metabolism	K00228	1.0
00860 Porphyrin metabolism	K02495	1.0
00860 Porphyrin metabolism	K00230	1.0
00860 Porphyrin metabolism	K00231	1.0
00860 Porphyrin metabolism	K08973	1.0
00860 Porphyrin metabolism	K01772	1.0
00860 Porphyrin metabolism	K00435	1.0
00860 Porphyrin metabolism	K25033	1.0
00860 Porphyrin metabolism	K13542	1.0
00860 Porphyrin metabolism	K13543	1.0
00860 Porphyrin metabolism	K02496	1.0
00860 Porphyrin metabolism	K02302	1.0
00860 Porphyrin metabolism	K02303	1.0
00860 Porphyrin metabolism	K00589	1.0
00860 Porphyrin metabolism	K02304	1.0
00860 Porphyrin metabolism	K24866	1.0
00860 Porphyrin metabolism	K03794	1.0
00860 Porphyrin metabolism	K22225	1.0
00860 Porphyrin metabolism	K22226	1.0
00860 Porphyrin metabolism	K22227	1.0
00860 Porphyrin metabolism	K24867	1.0
00860 Porphyrin metabolism	K02190	1.0
00860 Porphyrin metabolism	K03795	1.0
00860 Porphyrin metabolism	K22011	1.0
00860 Porphyrin metabolism	K03394	1.0
00860 Porphyrin metabolism	K13540	1.0
00860 Porphyrin metabolism	K02229	1.0
00860 Porphyrin metabolism	K05934	1.0
00860 Porphyrin metabolism	K13541	1.0
00860 Porphyrin metabolism	K21479	1.0
00860 Porphyrin metabolism	K05936	1.0
00860 Porphyrin metabolism	K02189	1.0
00860 Porphyrin metabolism	K02228	1.0
00860 Porphyrin metabolism	K05895	1.0
00860 Porphyrin metabolism	K02188	1.0
00860 Porphyrin metabolism	K00595	1.0
00860 Porphyrin metabolism	K02191	1.0
00860 Porphyrin metabolism	K03399	1.0
00860 Porphyrin metabolism	K06042	1.0
00860 Porphyrin metabolism	K02224	1.0
00860 Porphyrin metabolism	K02230	1.0
00860 Porphyrin metabolism	K09882	1.0
00860 Porphyrin metabolism	K09883	1.0
00860 Porphyrin metabolism	K13786	1.0
00860 Porphyrin metabolism	K00798	1.0
00860 Porphyrin metabolism	K19221	1.0
00860 Porphyrin metabolism	K02232	1.0
00860 Porphyrin metabolism	K02227	1.0
00860 Porphyrin metabolism	K02225	1.0
00860 Porphyrin metabolism	K08260	1.0
00860 Porphyrin metabolism	K02231	1.0
00860 Porphyrin metabolism	K19712	1.0
00860 Porphyrin metabolism	K02233	1.0
00860 Porphyrin metabolism	K25496	1.0
00860 Porphyrin metabolism	K22465	1.0
00860 Porphyrin metabolism	K22466	1.0
00860 Porphyrin metabolism	K25497	1.0
00860 Porphyrin metabolism	K25498	1.0
00860 Porphyrin metabolism	K25499	1.0
00860 Porphyrin metabolism	K00768	1.0
00860 Porphyrin metabolism	K02226	1.0
09182 Protein families: genetic information processing	03032 DNA replication proteins	1.0
03032 DNA replication proteins	K22316	1.0
00860 Porphyrin metabolism	K16651	1.0
00860 Porphyrin metabolism	K04720	1.0
00860 Porphyrin metabolism	K04032	1.0
00860 Porphyrin metabolism	K22012	1.0
00860 Porphyrin metabolism	K21610	1.0
00860 Porphyrin metabolism	K21611	1.0
00860 Porphyrin metabolism	K21612	1.0
00860 Porphyrin metabolism	K03403	1.0
00860 Porphyrin metabolism	K03404	1.0
00860 Porphyrin metabolism	K03405	1.0
00860 Porphyrin metabolism	K03428	1.0
00860 Porphyrin metabolism	K04034	1.0
00860 Porphyrin metabolism	K04035	1.0
00860 Porphyrin metabolism	K19073	1.0
00860 Porphyrin metabolism	K21231	1.0
00860 Porphyrin metabolism	K04036	1.0
00860 Porphyrin metabolism	K00218	1.0
00860 Porphyrin metabolism	K04037	1.0
00860 Porphyrin metabolism	K04038	1.0
00860 Porphyrin metabolism	K04039	1.0
01006 Prenyltransferases	K04040	1.0
00860 Porphyrin metabolism	K08099	1.0
00860 Porphyrin metabolism	K13600	1.0
00860 Porphyrin metabolism	K13606	1.0
00860 Porphyrin metabolism	K18010	1.0
00860 Porphyrin metabolism	K22013	1.0
00860 Porphyrin metabolism	K13544	1.0
00860 Porphyrin metabolism	K13071	1.0
00860 Porphyrin metabolism	K13545	1.0
00860 Porphyrin metabolism	K11333	1.0
00860 Porphyrin metabolism	K11334	1.0
00860 Porphyrin metabolism	K11335	1.0
00860 Porphyrin metabolism	K11336	1.0
00860 Porphyrin metabolism	K11337	1.0
00900 Terpenoid backbone biosynthesis	K10960	1.0
00860 Porphyrin metabolism	K21058	1.0
00860 Porphyrin metabolism	K13602	1.0
00860 Porphyrin metabolism	K13601	1.0
00860 Porphyrin metabolism	K13603	1.0
00860 Porphyrin metabolism	K13604	1.0
01006 Prenyltransferases	K13605	1.0
00860 Porphyrin metabolism	K21312	1.0
00860 Porphyrin metabolism	K07215	1.0
00860 Porphyrin metabolism	K07226	1.0
00860 Porphyrin metabolism	K07145	1.0
09166 Cardiovascular disease	05418 Fluid shear stress and atherosclerosis	1.0
05418 Fluid shear stress and atherosclerosis	K00510	1.0
09154 Digestive system	04978 Mineral absorption	1.0
04978 Mineral absorption	K21418	1.0
00860 Porphyrin metabolism	K21480	1.0
